Num_Acc,id_vehicule,num_veh,place,catu,sexe,trajet,secu1,secu2,secu3,locp,actp,etatp,year_acc,victim_age,senc,catv,obs,obsm,choc,manv,motor,occutc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,jour,mois,lum,dep,com,agg_,int,atm,col,adr,lat,long,hour,nb_victim,nb_vehicules
202100040452,129Â 300,B01,1,1,1,1,2,6,-1,-1, -1,-1,2021,39.0,1,1,0,2,7,2,1,,9,SAMPIERO CORSO - AV,0,,2,2,0,2,1,0,1,, -1,1,0,1,50,10,5,1,202,202033,2,1,0,3,SAMPIERO CORSO - AV,42.6674,9.44286,19,2,2
202100018720,168Â 177,A01,10,3,2,0,0,-1,-1,2,9,1,2021,18.0,3,2,0,1,1,1,1,,4,SAINT MICHEL (PL),0,,2,2,0,1,0,0,3,, -1,1,0,1,30,15,9,1,72,72181,2,7,0,6,SAINT MICHEL (PL),48.00926,0.19805,15,2,1
202100036149,137Â 069,A01,1,1,1,5,2,-1,-1,0,0,-1,2021,38.0,1,1,0,0,8,1,1,,3,112,-1,,2,2,0,2,(1),(1),2,, -1,1,0,1,80,5,6,1,14,14552,1,1,0,7,D112,49.301789,-0.606995,11,1,1
202100022704,161Â 017,B01,1,1,2,0,0,-1,-1,-1, -1,-1,2021,20.0,0,1,0,2,1,15,3,,4,SAINT CHARLES (ROCADE),0,,2,3,0,1,0,0,1,, -1,1,0,1,50,20,8,1,66,66136,1,1,0,3,SAINT CHARLES (ROCADE),42.6776553589,2.8512451798,15,2,2
202100030484,147Â 284,D01,1,1,1,5,1,-1,-1,0,0,-1,2021,18.0,2,2,0,2,4,1,1,,1,8,-1,A,3,5,0,1,152,200,1,, -1,1,0,1,110,7,7,1,6,6079,1,1,0,5,AUTOROUTE A8 K 152.200 NORD,43.534549,6.882334,13,10,7
202100034692,139Â 715,A01,9,2,1,5,0,-1,-1,0,0,-1,2021,14.0,1,2,4,2,1,2,1,,1,8,-1,,1,5,0,2,65,200,2,, -1,1,0,1,130,13,6,1,83,83140,1,1,0,2,A8,43.4236288948,5.9630846558,19,9,2
202100051161,110Â 224,A01,1,1,1,0,8,0,-1,-1, -1,-1,2021,17.0,1,1,0,2,7,1,1,,4,LADHOF (RUE DU),0,,2,2,0,1,(1),(1),1,, -1,1,0,1,50,7,2,1,68,68066,2,3,0,3,LADHOF (RUE DU),48.0834655046,7.3658437729,13,2,2
202100002446,197Â 399,B01,1,1,1,0,2,0,-1,0,0,-1,2021,31.0,3,1,0,2,1,1,1,,7,NICE AVENUE DE (RN7),0,,2,3,0,1,(1),(1),1,, -1,1,0,1,50,17,12,1,6,6027,2,2,0,1,NICE AVENUE DE (RN7),43.656232,7.154994,12,2,2
202100050087,112Â 207,B01,1,1,1,5,1,0,-1,-1, -1,-1,2021,53.0,1,2,0,2,4,1,1,,3,19,0,,1,3,1,1,144,0,1,, -1,1,0,1,50,26,2,1,92,92024,2,1,0,2,MARTRE (RUE) DE (111 A 119)   (122 A 144,48.90773,2.30122,16,2,2
202100030963,146Â 410,A01,1,1,1,0,2,6,-1,-1, -1,-1,2021,45.0,1,1,0,2,1,3,1,,1,13,0,,1,3,0,1,5,900,1,, -1,1,2,1,110,3,7,1,92,92047,1,1,0,4,A13,48.8367476276,2.1860577644,18,6,3
202100010365,183Â 180,A01,1,1,2,0,1,0,-1,-1, -1,-1,2021,41.0,2,2,0,2,1,15,1,,3,STALINGRAD (BD DE),0,,3,4,1,1,0,1,1,, -1,2,2,1,50,29,10,5,94,94073,2,2,1,3,Boulevard de Stalingrad,48.77065,2.40133,20,6,2
202100054966,103Â 563,B01,1,1,1,1,2,6,-1,0,0,-1,2021,19.0,2,1,0,2,1,1,1,,3,446,-1,,2,2,0,1,(1),(1),1,, -1,1,0,1,50,15,1,5,50,50292,2,2,0,1,Rue du Mesnil Amey,49.099414,-1.236783,19,2,2
202100039269,131Â 409,A01,1,1,1,1,2,6,-1,-1, -1,-1,2021,30.0,2,1,12,0,2,1,1,,4,CHRISTOPHE COLOMB (AVENUE),0,,3,4,0,1,(1),(1),2,, -1,1,0,1,70,18,5,2,76,76351,1,3,0,7,CHRISTOPHE COLOMB (AVENUE),49.48049,0.14877,21,1,1
202100008442,186Â 647,A01,1,1,1,0,1,8,-1,-1, -1,-1,2021,54.0,1,2,0,2,1,1,1,,4,BAS DU FORT,0,,1,1,0,1,(1),(1),1,, -1,1,0,1,50,10,11,1,971,97113,1,1,0,2,BAS DU FORT,16.22165,-61.52246,10,2,2
202100038308,133Â 163,A01,1,1,1,4,1,-1,-1,-1,0,-1,2021,42.0,2,4,0,2,1,1,1,,2,RN 104,0,,3,4,0,1,2,299,1,, -1,1,0,1,110,26,5,1,95,95151,1,1,0,2,RN 104,49.0637,2.268,11,2,2
202100056292,101Â 275,A01,1,1,1,9,1,5,-1,-1, -1,-1,2021,21.0,3,2,14,0,3,13,1,,3,COUBRON (ALLEE DE),0,,2,2,0,1,1,1,1,, -1,2,9,1,50,4,1,5,93,93014,2,1,1,6,COUBRON (ALLEE DE),48.9126475805,2.5519191877,4,2,1
202100052267,108Â 281,A01,1,1,1,9,1,9,-1,0,0,-1,2021,28.0,0,2,8,2,0,17,1,,2,N31,-1,,2,2,0,1,5,700,1,, -1,1,0,1,70,8,2,1,60,60187,2,2,0,3,n31,49.444294,1.829224,14,2,2
